id	x	y	group	color	size	metadata
_h5_4497	38018.17	11351.67	61	B48395	30	regular
_h5_4189	22401.39	16692.83	43	50C878	30	regular
_h5_3601	22390.22	16980.85	43	50C878	30	regular
_h5_3621	22395.75	16978.52	43	50C878	30	regular
_h5_3648	22401.28	16976.19	43	50C878	30	regular
_h5_3686	22327.56	16709.23	43	50C878	30	regular
_h5_3927	22381.6	16701.79	43	50C878	30	regular
_h5_3947	22357.1	16705.23	43	50C878	30	regular
_h5_4613	22320.02	16725.79	43	50C878	30	regular
_h5_3743	22509.66	16666.25	43	50C878	30	regular
_h5_3795	22591.74	16578.62	43	50C878	30	regular
_h5_4096	22586.0	16599.68	43	50C878	30	regular
_h5_4492	15951.04	19438.4	205	555D50	30	regular
_h5_4493	15249.05	26046.7	171	0072BB	30	regular
_h5_4403	15275.46	25989.96	171	0072BB	30	regular
_h5_4839	15284.51	26020.41	171	0072BB	30	regular
_h5_4846	15218.99	26059.26	171	0072BB	30	regular
_h5_4029	15217.49	25830.07	171	0072BB	30	regular
_h5_4810	15300.41	25951.45	171	0072BB	30	regular
_h5_4773	21788.11	26278.61	166	AB4E52	30	regular
_h5_3842	22052.19	26403.7	284	563C5C	30	regular
_h5_4764	21770.27	26227.31	166	AB4E52	30	regular
_h5_4765	21517.21	26238.91	166	AB4E52	30	regular
_h5_4797	21820.03	26547.34	284	563C5C	30	regular
_h5_4804	21826.02	26173.21	166	AB4E52	30	regular
_h5_4711	33941.1	26353.17	-1	000	10	regular
_h5_4490	16160.03	15378.06	96	96C8A2	30	regular
_h5_3918	16215.03	15393.06	96	96C8A2	30	regular
_h5_4728	22439.81	21000.54	11	44D7A8	30	regular
_h5_4320	22419.39	21139.69	11	44D7A8	30	regular
_h5_4520	22428.62	21094.95	11	44D7A8	30	regular
_h5_3680	22427.01	20705.07	11	44D7A8	30	regular
_h5_3890	22555.37	21213.28	11	44D7A8	30	regular
_h5_4358	22588.37	21243.3	11	44D7A8	30	regular
_h5_4567	22624.78	21144.12	11	44D7A8	30	regular
_h5_3584	22580.07	20788.91	11	44D7A8	30	regular
_h5_4491	35323.46	13295.13	89	C19A6B	30	regular
_h5_3690	35339.06	13313.0	89	C19A6B	30	regular
