id	x	y	group
_h5_4326	19107.43	22092.87	39
_h5_3782	20397.01	12237.67	58
_h5_3577	20359.09	12285.82	58
_h5_4573	20420.09	12136.0	58
_h5_4292	20280.27	12385.92	58
_h5_4307	20249.76	12424.49	58
_h5_4377	22446.92	18432.38	48
_h5_4619	22490.19	18190.96	48
_h5_4605	22445.03	18379.91	48
_h5_4587	22470.71	18510.57	11
_h5_4374	6990.63	17130.53	79
_h5_4822	6864.96	17028.67	79
_h5_4868	7108.57	17065.04	79
_h5_4373	13781.71	25361.84	86
_h5_4099	13963.77	25373.07	86
_h5_4346	13829.63	25369.73	86
_h5_4592	14028.18	25373.58	86
_h5_4600	13890.23	25370.46	86
_h5_4759	14066.55	25369.33	86
_h5_4372	19153.92	22394.74	181
_h5_4385	19171.81	22578.73	251
_h5_4278	20416.71	19169.52	168
_h5_3655	20443.91	19154.01	168
_h5_3708	20482.14	19140.9	168
_h5_4504	20216.05	19254.14	168
_h5_4515	20447.88	19137.89	168
_h5_4276	13715.04	16924.99	206
_h5_4574	13779.45	16737.79	206
_h5_4277	22111.08	21286.19	47
_h5_4088	21858.85	21338.1	47
_h5_4342	21870.55	21350.85	47
_h5_4275	19483.31	17522.95	198
_h5_3863	19588.0	17567.72	198
_h5_4080	19640.1	17705.79	198
_h5_4329	19484.38	17424.03	198
_h5_4588	19642.17	17667.21	198
_h5_4272	18636.98	22062.02	40
_h5_4187	18596.5	22137.8	40
_h5_4629	18600.14	22086.73	40
_h5_4273	26285.91	25572.52	1
_h5_3988	26271.72	25514.49	1
_h5_4110	26299.24	25677.39	1
_h5_4149	26365.76	25736.45	1
_h5_4198	26259.02	25350.03	1
_h5_4087	26364.69	25768.78	1
_h5_4270	19729.16	19016.52	193
_h5_4526	19706.75	19186.03	51
_h5_4271	12454.32	11374.29	2
_h5_4162	12597.27	11406.52	2
_h5_4221	12533.17	11392.09	2
_h5_3606	20822.45	23660.06	110
_h5_3724	20821.88	23672.43	110
_h5_4323	20822.76	23652.87	110
_h5_3607	22878.52	18697.44	103
_h5_3741	22950.55	18659.97	103
_h5_3768	22978.54	18673.98	103
_h5_3985	23132.58	18655.57	103
_h5_4093	22686.09	18753.08	11
_h5_4404	22891.77	18672.77	103
_h5_4411	23165.43	18634.23	103
_h5_4599	19784.87	18300.76	267
_h5_4572	19782.27	18200.05	20
_h5_4611	19782.28	18256.55	267
_h6_25	44251.85	31124.52	410
_h5_4860	44168.26	31071.28	410
_h6_20	14665.61	13215.24	361
_h5_3905	14712.24	13305.03	361
_h5_4856	14734.68	13303.82	361
_h6_22	44182.07	32255.06	411
_h5_4866	44173.69	32249.77	411
_h6_23	18246.89	28177.3	175
_h5_4066	18182.51	28400.76	175
_h5_4628	18181.12	28397.78	175
_h5_4795	14231.84	25010.56	356
_h5_4835	14412.83	24813.98	356
_h5_3691	14126.75	25027.93	356
_h5_4506	14138.78	25035.1	356
_h5_4794	11848.14	19617.58	202
_h5_4780	11968.51	19609.8	202
_h6_13	11768.16	19632.84	202
_h5_4658	41570.09	31077.01	146
_h5_4673	41610.43	31037.33	146
_h5_4767	41816.67	31160.15	146
_h5_4792	41810.99	31156.43	146
_h5_4659	38980.76	29274.04	16
_h5_4518	38801.45	29206.38	16
_h5_4610	38751.91	29184.05	16
_h5_4649	38832.6	29216.05	16
_h5_4541	39178.51	29331.99	16
_h5_4654	13472.31	20056.1	293
_h5_4421	13210.07	19936.51	293
_h5_4608	13380.39	20014.27	293
_h5_4598	40132.43	29716.39	329
_h5_3595	40224.02	29761.8	329
_h5_4564	40057.61	29667.8	329
_h5_4647	39954.58	29606.51	329
_h5_4653	16602.51	28659.78	235
_h5_4705	16694.44	28665.62	235
_h5_4579	29413.99	17606.24	120
_h5_3589	29376.09	17639.21	120
_h5_4390	29379.44	17619.34	120
_h5_4577	27831.81	29482.5	225
_h5_3694	27997.53	29656.21	225
_h5_4607	28006.82	29676.41	225
_h5_4576	24988.99	28573.54	255
_h5_3719	25139.61	28454.9	255
_h5_4571	37516.62	28147.37	262
_h5_4570	31876.58	20653.51	464
_h5_3851	31930.6	20780.48	464
_h5_4474	24648.09	18500.71	433
_h5_4534	24699.83	18509.9	433
_h5_4477	36213.31	26880.49	260
_h5_4194	36061.17	26816.82	89
_h5_3567	36419.46	26973.81	260
_h5_3638	36469.62	27027.87	260
_h5_4546	36257.74	26902.1	260
_h5_4470	34147.42	26718.88	81
_h5_4407	34190.72	26723.54	81
_h5_4435	34251.04	26725.24	81
_h5_4464	34116.43	26720.9	81
_h5_4471	19445.75	20056.51	131
_h5_4409	19480.66	19922.41	131
_h5_4482	19515.19	20008.01	131
_h5_4772	14545.87	11260.84	200
_h5_4163	14695.92	11460.69	200
_h5_4771	9156.75	24896.31	145
_h5_4774	9287.76	24891.94	145
_h6_17	11111.36	19436.81	127
_h5_3836	11015.48	19393.48	127
_h5_4840	11360.01	19574.39	127
_h5_4186	20427.21	18285.95	458
_h5_4117	20557.03	18413.88	88
_h5_3971	22174.19	23644.39	38
_h5_4252	21893.25	23564.33	38
_h5_4489	16703.11	24549.03	276
_h5_4481	18389.77	15921.36	174
_h5_4586	18373.19	15932.76	174
_h5_4483	26964.95	28107.15	302
_h5_3866	27106.92	28169.07	302
_h5_3936	26991.29	28127.29	302
_h5_3967	26954.28	28073.38	302
_h5_4485	10826.28	19262.34	127
_h5_4181	15457.08	28742.65	385
_h5_3833	15527.66	28972.78	385
_h5_4634	22694.65	17689.25	204
_h5_4585	22752.61	17528.44	204
_h5_4606	22676.14	17734.85	204
_h5_4646	22590.04	17936.35	204
_h5_4394	33328.28	26636.67	98
_h5_4259	33297.02	26634.98	98
_h5_4284	33376.42	26644.42	98
_h5_4419	33344.55	26642.63	98
_h5_4508	9836.55	26403.6	208
_h5_4264	9712.81	26139.31	208
_h5_4503	35722.34	26728.63	89
_h5_3816	35729.44	26711.73	89
_h5_3845	35673.23	26721.37	89
_h5_4528	35889.56	26763.85	89
_h5_4505	36645.73	27164.92	260
_h5_4050	36827.47	27346.54	366
_h5_4406	36549.71	27086.6	260
_h5_4428	36574.76	27101.76	260
_h5_4555	36655.26	27168.88	66
_h5_3669	25777.71	22102.03	154
_h5_3960	25796.78	21884.22	154
_h5_4085	25799.25	21840.87	154
_h5_4293	25819.39	21829.66	154
_h5_4349	25809.3	21984.27	154
_h5_4781	42894.45	30525.78	365
_h5_4761	42656.64	30441.05	365
_h5_4591	43042.39	30377.76	365
_h5_4056	15058.87	25105.97	137
_h5_4414	15255.22	24980.1	137
_h5_4521	15261.28	24980.54	137
_h5_4548	15219.4	25003.59	137
_h5_4566	14904.13	25165.19	137
_h5_4055	25703.04	25322.66	18
_h5_4031	25688.77	25307.34	18
_h5_4143	25543.58	25155.67	8
_h5_4052	20370.79	29437.4	430
_h5_4109	20508.41	29540.63	430
_h5_4051	27108.48	26183.67	91
_h5_4135	27394.19	26270.06	35
_h6_9	35084.41	13065.35	322
_h5_4046	35144.9	13133.1	322
_h5_4621	38165.59	28779.58	61
_h5_4167	38232.3	29030.11	118
_h5_4632	38376.95	28952.01	118
_h5_3588	21951.05	22479.63	213
_h5_3762	22203.38	22623.72	191
_h6_1	22198.18	33216.5	30
_h5_4529	22200.22	33466.1	30
_h5_3587	23835.11	18774.4	83
_h5_3797	23621.66	18685.32	83
_h5_4355	23592.28	18674.58	83
_h5_4639	32213.92	20265.28	143
_h5_4604	32024.87	20239.11	143
_h5_3580	30587.93	32698.54	352
_h5_4234	30536.55	32903.07	352
_h5_4820	30573.23	32520.69	352
_h5_4850	30540.35	32929.65	352
_h5_4383	19724.94	23250.21	227
_h5_4041	19620.54	23269.55	227
_h5_4165	19685.33	23257.55	227
_h5_4261	19646.67	23264.71	227
_h5_4238	19752.79	23245.05	227
_h5_4530	26427.73	25859.82	1
_h5_4033	26558.16	25921.95	1
_h5_3864	19920.2	26541.71	53
_h5_4146	20069.82	26500.21	53
_h5_4164	19784.99	26584.94	53
_h5_3901	19146.2	17145.74	102
_h5_4008	19229.09	17221.97	102
_h5_4098	19053.57	17119.45	102
_h5_4622	19094.48	17122.47	102
_h5_4623	19187.39	17169.71	102
_h5_4625	19050.47	17097.33	102
_h5_4643	19256.81	17215.97	102
_h5_3904	24579.22	22793.2	113
_h5_3626	24540.05	22776.59	113
_h5_3907	25214.04	25314.13	283
_h5_4108	25336.89	25193.47	8
_h5_4166	37788.32	16782.56	421
_h5_4364	37602.59	16680.9	421
_h5_3649	23819.96	22383.02	34
_h5_3716	23748.96	22397.9	34
_h5_3789	23784.75	22398.6	34
_h5_3853	23761.77	22400.27	34
_h5_3925	23814.14	22389.01	34
_h5_3986	23837.39	22379.35	34
_h5_4609	19724.27	17877.27	198
_h5_4317	19755.45	17659.42	198
_h5_3644	22844.62	22306.11	158
_h5_4000	22835.15	22325.91	158
_h5_4124	22837.95	22364.05	158
_h5_4290	22838.92	22378.05	158
_h5_4614	22799.12	22366.73	158
_h5_3645	22276.88	27000.34	144
_h5_3660	22302.29	26734.82	144
_h5_3944	22032.64	26915.14	144
_h5_3761	8833.71	13938.19	210
_h5_4719	8994.31	14040.95	210
_h5_3760	26205.41	23317.42	27
_h5_3729	26196.31	23360.38	27
_h5_4040	26081.7	23352.73	27
_h5_4111	26148.4	23504.57	27
_h5_4121	26229.1	23287.33	27
_h5_4160	27614.95	26309.94	35
_h5_4043	27816.92	26345.17	35
_h5_4120	27516.3	26292.79	35
_h5_4137	27564.29	26301.15	35
_h5_4178	28195.91	26409.73	24
_h5_3726	27961.1	26353.95	24
_h5_3939	27980.91	26354.1	24
_h5_3718	22872.3	21760.14	42
_h5_3850	22901.97	21927.45	42
_h5_3855	23048.97	21980.35	42
_h5_4213	22910.53	21943.71	42
_h5_4231	22901.03	21921.01	42
_h5_4296	22917.53	21945.93	42
_h5_4371	23130.98	21738.45	42
_h5_4813	22923.19	21947.73	42
